recorded_at_epoch,scenario_id,run_id,framework_commit,model,rubric_points,max_points,final_score,agent_total_tokens,mcp_payload_tokens,total_calls,duplicate_calls,mcp_calls,mcp_errors,mcp_tools_used,doc_bypass_reads,items_passed,items_failed,items_skipped,items_neutralized,lint_clean,lint_diagnostics,judge_visual_polish,judge_layout_sanity,judge_accessibility,judge_error_handling,judge_code_organization
1784740726,modal-confirm,run-1,aeb55b9f,claude-opus-4-8,110,110,113.303,509013,16159,141,9,46,3,18,38,7,0,0,0,,,,,,,
1784751437,modal-confirm,run-2,136d94ae,claude-opus-4-8,55,55,58.874,337920,16582,110,14,46,5,18,24,4,0,3,0,,,,,,,
