recorded_at_epoch,scenario_id,run_id,framework_commit,model,rubric_points,max_points,final_score,agent_total_tokens,mcp_payload_tokens,total_calls,duplicate_calls,mcp_calls,mcp_errors,mcp_tools_used,doc_bypass_reads,items_passed,items_failed,items_skipped,items_neutralized,lint_clean,lint_diagnostics,judge_visual_polish,judge_layout_sanity,judge_accessibility,judge_error_handling,judge_code_organization
1784740729,signup-form,run-1,aeb55b9f,claude-opus-4-8,107,117,109.868,424555,14063,111,12,39,0,18,23,9,1,0,0,,,,,,,
1784750713,signup-form,run-2,136d94ae,claude-opus-4-8,70,70,73.035,361793,15845,104,13,42,0,16,19,6,0,4,0,,,,,,,
