recorded_at_epoch,scenario_id,run_id,framework_commit,model,rubric_points,max_points,final_score,agent_total_tokens,mcp_payload_tokens,total_calls,duplicate_calls,mcp_calls,mcp_errors,mcp_tools_used,doc_bypass_reads,items_passed,items_failed,items_skipped,items_neutralized,lint_clean,lint_diagnostics,judge_visual_polish,judge_layout_sanity,judge_accessibility,judge_error_handling,judge_code_organization
1784660266,todo-app,run-1,13863798,claude-opus-4-8,60,60,63.806,477564,16766,,,,,,,5,0,4,0,,,,,,,
1784660266,todo-app,run-2,13863798,claude-opus-4-8,125,125,128.996,401705,16931,163,13,56,1,22,16,9,0,0,0,true,0,3,3,3,4,4
1784660266,todo-app,run-3,13863798,claude-opus-4-8,125,125,128.954,418551,20540,174,26,75,2,21,4,9,0,0,0,true,0,2,3,1,3,4
